,Projekt ID,Projekttitel,url_new,Projektstatus,year_start,year_end,SAP Interne Organisationen,corpus_EN,Projektmitarbeit,Projektleitung
10,76949,Alpine Outdoorlandschaft 2030,https://www.hslu.ch/de-ch/hochschule-luzern/forschung/projekte/detail/?pid=5468,Abgeschlossen,2020,2021,CC Mobilität,"Alpine outdoor landscape 2030 Alpine outdoor landscape 2030 - bundling of forces across all disciplines for the purpose of sustainable development, knowledge transfer & increase in value The ""Alpine Outdoor Landscape Switzerland 2030"" project pursues the overarching development goal of sustainably strengthening Switzerland through marketable product and offer development as well as interdisciplinary knowledge transfer regarding innovation and training in the international environment in the outdoor sector. It is primarily about the sustainable development of products and offers in the alpine destinations. On the one hand, the aspect of ""demand"" and the resulting training in the field of outdoor guides play an important role. A decisive added value of this project is the holistic 360° view across all disciplines and including the political levels such as national associations and tourism organizations. This form of broad national support is unique to date. From February 2020 to June 2021, the most important interest groups, together with outdoor providers, will build up an interest group IG Outdoor and a set of tools intended to deepen the market segments and increase word creation. IG Outdoor is now developing a joint strategy, products, a harmonized training model and a digital outdoor marketplace platform in order to position Switzerland as “the most desirable outdoor destination in Europe” in the long term and thus strengthen tourism in the Alpine regions in the long term."," Gschwendtner Bastian,  Diermeier Nicole,  Müller Sabine,  Imhof Sebastian", Fickel Lisa
11,3275,Volkswirtschaftliche Bedeutung des Heidi-Musicals,https://www.hslu.ch/de-ch/hochschule-luzern/forschung/projekte/detail/?pid=199,Abgeschlossen,2005,2005,CC Tourismus,"Economic importance of the Heidi musical The study analyzes the economic and social effects of the Heidi musical for the Heidiland region and Switzerland as a whole. The event scorecard is a standardized method for collecting, evaluating and analyzing the economic, ecological and social importance of events. The methodology was developed and tested at eight major sporting events as part of two CTI projects with the support of BASPO and the Swiss Olympic Association. The focus of the analysis is on the regional economic importance of the ""Heidi Musical"". The data was collected by means of a visitor survey, a survey of the event companies on the site, information from the organizer and a qualitative survey of commercial companies in Walenstadt. The media evaluation is based on surveys by Argus der Presse AG. The evaluable visitor questionnaires, together with the feedback from the event companies and the information from the organizer, provided the data basis for the calculation and evaluation."," Stettler Jürg,  Linder Philippe", Renz-Mehr Rebekka
12,56844,Mind@work in der Praxis,https://www.hslu.ch/de-ch/hochschule-luzern/forschung/projekte/detail/?pid=4212,Abgeschlossen,2018,2020,"Institut Sozialmanagement, Sozialpolitik und Prävention Forschung","Mind@work in practice How organizations and managers deal with mentally handicapped employees is a growing challenge for companies. The Lucerne University of Applied Sciences and Arts, together with partners, conducted a representative survey of 1,500 Swiss-German managers from various industries in order to better understand how managers perceive and deal with the topic (Baer, Frick, Auerbach & Basler, 2017). The proposed research project builds on these findings and has two objectives: The first objective is to examine specific aspects that particularly affect the social and health sector as part of an in-depth analysis of the Mind@Work study (Baer et al. 2017). This is done using a quantitative secondary data analysis and a supplementary focus group with experts. The knowledge gained is published and made accessible to a broader public through further measures. The second goal is to submit an Innosuisse application, within the framework of which scientifically based and at the same time practical instruments to enable SMEs to deal with mentally impaired employees are to be developed and tested in practice."," Neuenschwander Martin,  Näpfli Keller Nadine"," Auerbach Sarah,  Neuenschwander Martin"
13,60561,VR Bees - The Serious Game for Beekeepers,https://www.hslu.ch/de-ch/hochschule-luzern/forschung/projekte/detail/?pid=4228,Abgeschlossen,2019,2019,Immersive Realities IR aF&E,"VR Bees - The Serious Game for Beekeepers Support for beekeeper training by means of a serious game in virtual reality Beekeeping is an important activity in Switzerland and worldwide due to the importance of bees not only to ecosystems but also to economic systems. The beekeeping training is extremely demanding and, due to the fact that bee colonies are sensitive organisms, only insufficiently practical. Although training is currently supported by digital media (photos, videos, online courses, apps), there is great potential in the area of digital transformation of teaching. The adaptation of the current learning methodologies was gained as the most important main finding in a preliminary study that had already been carried out by the future laboratory CreaLab. The expansion of teaching to include a serious virtual reality game has emerged as a potential solution. In this way, learning content can be conveyed realistically and interactively in an immersive simulation. As part of this project, we are now creating a first prototype together with BienenSchweiz (beekeepers' association in German and Rhaeto-Romanic Switzerland)."," Burgess Naomi,  Kreienbühl Tobias,  Kellerhals Ursina"," Wetzel Richard,  Kellerhals Ursina"
14,5638,Ikonographie der Renaissanceflöte,https://www.hslu.ch/de-ch/hochschule-luzern/forschung/projekte/detail/?pid=819,Abgeschlossen,2004,2008,Forschungsschwerpunkt Performance,"Renaissance flute iconography As part of the project, a commented, chronological and thematically arranged iconographic collection on the Renaissance flute was created and made accessible in the form of a website. The sources span a period from 1470 to 1650. The website serves as a platform for communication among experts. However, it is also aimed at music students and the interested public.",,",  Landau Annette,  Ehlich Liane"
15,34356,Wirkungsvolle Strategien zur Vermarktung von Stromprodukten aus erneuerbaren Energien: Entwicklung einer Methoden-Toolbox,https://www.hslu.ch/de-ch/hochschule-luzern/forschung/projekte/detail/?pid=3261,Abgeschlossen,2015,2017,CC Professionelle Kommunikation,"Effective strategies for marketing electricity products from renewable energies: development of a method toolbox Processing motivation is a prerequisite for understanding renewable electricity products, but it is precisely this that is lacking in most people. The processing motivation is a prerequisite for the comprehensibility of electricity products from renewable energies, but this is precisely what most people lack (cf. CTI project 13517.1 PFES-ES). In this follow-up project, a toolbox with instruments based on innovative strategies from marketing (gamification, storytelling, emotionalisation, etc.) will be developed that will help companies in the selection, planning, implementation and control of motivating and thus effective marketing strategies for products made from electricity from renewable energy sources supports."," Janoschka Anja,  Jecker Constanze,  Schaffner Dorothea,  Federspiel Esther,  Albisser Matthias,  Kirchhof Samuel,  Kolberg Sonja,  Stalder Ursula", Demarmels Sascha
16,75330,Smart Aging,https://www.hslu.ch/de-ch/hochschule-luzern/forschung/projekte/detail/?pid=5745,Laufend (Aktiv),2020,2022,"Institut Sozialmanagement, Sozialpolitik und Prävention Forschung","smart aging Digital social and health solutions for the elderly population in rural communities Digital solutions (Information and Communication Technologies (ICT)) have a high potential to improve the quality of life of older people by promoting healthy, autonomous and socially integrated aging. Although there are promising solutions that are increasingly being offered, they are only rarely accepted and used. The reasons for the lack of acceptance and use have so far hardly been determined in Switzerland using a systemic and network-oriented approach. The project therefore aims to use a participatory approach to explore which factors lead to a practice-relevant and thus actual acceptance of digital solutions for older people in rural areas. The digital solutions focus on applications for networking and the provision of offers in the social and health sectors. The result of the project is an evaluated and systemic acceptance model for digital solutions that gives decision-makers in rural communities and organizations with a counseling service (e.g. Pro Senectute, Spitex, etc.) practical guidance on what is applicable and implementable in their environment or in their specific context is."," Paice Andrew,  Stremlow Jürgen", Leitner Kathrin
17,72235,Komfortlüftung im Vollzug Energie ,https://www.hslu.ch/de-ch/hochschule-luzern/forschung/projekte/detail/?pid=4410,Abgeschlossen,2019,2020,ZIG Zentrum für Integrale Gebäudetechnik,"Comfort ventilation in full Energy In 2017/18, the Lucerne University of Applied Sciences and Arts carried out the ""Investigation into exhaust air systems and individual room ventilation in the energy sector"". Ventilation systems, which are currently not very widespread, were examined. However, there are no direct comparisons with the widely used comfort ventilation (according to SIA 382/1 ""simple ventilation system""). For this reason, a similar study is being carried out on the comfort ventilation of individual apartments (so-called individual apartment complexes). Comparable data should be made available for comfort ventilation systems, as was collected in the project “Exhaust air systems and individual room ventilation in the energy implementation”. These are in particular: - Room-wise air volume flows in the encountered and in the cleaned state - Imbalance (excess supply or exhaust air) of the apartment in the encountered and in the cleaned state - Air volume flows in comparison with the requirements of standards - Qualitative assessment of the hygienic condition - Assessment of the state of the art (Energetic benefits, anti-icing protection, acoustics, design, maintenance) The performance parameters and features of the systems encountered are compared with the state of the art. The thermal benefit of the systems in nominal operation is assessed on the basis of the available device characteristics (HR, fan performance, filter class, anti-icing protection), the measured air volume flows, the imbalance and the estimated distribution losses (cf. requirements for thermal insulation in accordance with the EN-105 implementation guide from MuKEn 2014)."," Primas Alex,  Lustenberger André,  Huber Heinrich,  Jasari Jasin,  Moser Marie-Teres,  Liniger Michael,  Näf Michael,  Widmer Michael", Hauri Claudia
18,79726,FAST - FIT Algorithms for Smart Training,https://www.hslu.ch/de-ch/hochschule-luzern/forschung/projekte/detail/?pid=5707,Abgeschlossen,2020,2022,iHomeLab,"FAST - FIT Algorithms for Smart Training An innovative combination of heart rate control and automatic training planning is intended to establish e-bikes as effective training devices for seniors and people with low physical endurance. With their electrical support, e-bikes offer a USP that also allows seniors and physically inactive people to ride longer distances on any terrain. Although e-bikes require a minimum level of physical energy, they can hardly be called exercise machines. In this research project, we would like to prove that the e-bike can act as an enabler by making it possible for seniors to use it as a piece of sports equipment in the first place thanks to the motor support. Pedal support and the translation should be adaptively adjusted to the fitness level of the rider. This is made possible by the development of an adaptive heart rate control as well as intelligent training and route planning."," Calatroni Alberto,  Rumsch Andreas,  Paice Andrew,  Vera Benjamin,  von Arx Dieter,  Birrer Edith,  Kniesel Guido,  Vogel Manuel,  Friedli Martin,  Eberle Patric,  Huber Mittler Patrick,  Schranz Raphael,  Niederberger Stefan", Camenzind Martin
19,3330,Machbarkeitsstudie für ein nationales Gäste-Marktforschungssystem,https://www.hslu.ch/de-ch/hochschule-luzern/forschung/projekte/detail/?pid=503,Abgeschlossen,2007,2007,CC Tourismus,"Feasibility study for a national guest market research system Review of the need for a market research system for destinations in the area of guest surveys analogous to the Austrian system ""Webmark"" feasibility study examined the possibility of developing or using a national, standardized and cost-effective market research system for destinations. This is to be used to record the needs, expectations and satisfaction of guests from tourism service providers and destinations in Switzerland. Personal talks were held with tourism directors in the various destinations. In the destinations is still relatively little resp. conducted unsystematic market research. The tourism directors expressed a great interest in more market research. In particular, they are interested in a system that allows online evaluations and benchmarks. However, the funds available and the willingness to spend on more market research in the destinations are very limited. Destinations assumed that service providers could also be interested in an integrated system (destination and service provider), since their main interest is in company-specific variables. Conclusion of the study: The need and the feasibility of a national guest market research system could be proven.",," Wagenseil Urs,  Wydler Christoph"
20,54746,Evaluation Career2SocialWork,https://www.hslu.ch/de-ch/hochschule-luzern/forschung/projekte/detail/?pid=4139,Abgeschlossen,2018,2021,Institut für Sozialpädagogik und Bildung Forschung,"Evaluation Career2SocialWork The ""Career2SocialWork"" pilot project (2017-2021) enabled employees of the five participating universities to strengthen their dual skills profile by immersing themselves in the practice of social work. The pilot project was evaluated. According to swissuniversities (2016), universities of applied sciences face the challenge of finding enough qualified employees who have both academic and practical experience. For this reason, the pilot program P11 ""to strengthen the double competence profile"" was advertised. The ""Career2SocialWork"" C2SW pilot program was designed by the five universities of applied sciences HES-SO (Leading House), FHNW, FHSG/OST, HSLU and SUPSI with their ""Social Work"" departments and was funded within the framework of these project-related federal funds. The evaluated immersions took place between 2018-2021. By participating in the program, employees developed their 'double skills profile', so that in addition to their scientific qualifications, they built up or refreshed practice-related skills and were able to transfer them to teaching and research. Practice organizations benefited from the direct exchange and the specialist discourse on site. The Career2SocialWork pilot program was evaluated in two stages. In the formative evaluation (2019), initial experiences with the program were described and reflected upon. Optimizations were made in the process flows. The balancing final evaluation (2021) answers the questions: How well has the development of competence been successful with the various measures? How successful was the university-practice network? What measures are suitable for promoting career planning at universities of applied sciences?", Glatt Anita, Gabriel-Schärer Pia
21,47506,Hybridmast,https://www.hslu.ch/de-ch/hochschule-luzern/forschung/projekte/detail/?pid=3723,Abgeschlossen,2017,2018,CC Mechanische Systeme,"hybrid mast Flagpoles are mainly used in Europe today as an advertising medium. Flagpoles are mainly used in Europe today as an advertising medium. This is still very rarely the case in the USA, which is why Aluart sees considerable growth potential there. The US has stricter regulations and the market demands taller flagpoles with larger flags. Higher masts tend to vibrate, which leads to a dynamic increase in stress, which is irrelevant given the dimensions that are usual today. The highest stresses on flagpoles are limited to a few neuralgic zones, such as the base of the pole, the transition to other cross-sections, cutouts or jumps in cross-section. These neuralgic zones are to be reinforced in a targeted manner and with sensible use of materials - in hybrid construction. In this preliminary project, specific requirements and technical goals for a hybrid mast for the US market are quantified. With theoretical and experimental investigations into the vibration susceptibility of flagpoles, the basis for a needs-based design is created. Based on the findings of the preliminary project, an application for the main project financed by the CTI is formulated."," Fleischli Bruno,  Lussi Fredy,  Provini Markus,  von Burg Martin,  Jabornegg Sascha", Bärtsch René
22,89666,Leveraging Cooperatives for the SDGs with Design Thinking - Zimbabwe and beyond,https://www.hslu.ch/de-ch/hochschule-luzern/forschung/projekte/detail/?pid=6074,Abgeschlossen,2022,2022,CC Business Communication,"Leveraging Cooperatives for the SDGs with Design Thinking - Zimbabwe and beyond Cooperation with Midlands State University and LID Agency, in Zimbabwe, in facilitating the founding and support for cooperatives working on the SDGs. Implementing the Sustainable Development Goals in sub-saharan Africa is one of the great challenges confronting the continent. There is anecdotal evidence to suggest that cooperatives provide a uniquely effective vehicle for SDG implementation in a way that promotes local involvement in the process. This pilot project sees a HSLU-W researcher partner with a university and an NGO in Zimbabwe on developing the theoretical framework for an implementing a cooperative solution to SDG implementation in Zimbabwe.",, Gutmann Martin
23,56665,"Knowledge Work im digitalen Wandel – Ressourcen, Strategien und Kompetenzen für erfolgreiche Karrieretransitionen",https://www.hslu.ch/de-ch/hochschule-luzern/forschung/projekte/detail/?pid=4149,Abgeschlossen,2018,2020,"CC Unternehmensentwicklung, Führung und Personal","Knowledge work in digital change - resources, strategies and skills for successful career transitions The project focuses on the digital transformation of tasks, job and skill requirements and careers in knowledge-intensive professions and organizations, which are of central importance for the competitiveness of the Swiss economy. In past phases of mechanization in the world of work, ""knowledge work"" was always considered to be an area relatively protected from automation. Cognitive performance is required here, which previously could hardly be substituted by machines. In the course of the so-called ""digital revolution"", networked, high-performance and partially adaptive digital applications and assistance systems have been penetrating core areas of knowledge-intensive activities (including engineering, research, HRM, financial analysis and consulting, medicine, journalism) for several years now . Against this background, the project firstly examines how the professional identities, competence requirements and career paths of knowledge workers in Switzerland are changing as a result of digitization. Secondly, we are interested in the attitudes, skills and coping strategies they need to acquire in order to successfully deal with this transformation, both professionally and personally. Thirdly, we ask ourselves which framework conditions and target group-specific advice and support offers (including personnel/career development, career coaching, outplacement, job placement) help individuals to remain employable and to shape their professional biographies in a self-determined/successful manner."," Glauser Andrea,  Willimann Ivo,  Z'Rotz Jana,  Nussbaum Julien,  Dröge Kai,  Gisin Leila,  Mohr Seraina", Kels Peter
24,47828,Dissertationsprojekt Jan Kraner,https://www.hslu.ch/de-ch/hochschule-luzern/forschung/projekte/detail/?pid=3758,Abgeschlossen,2017,2017,"CC Unternehmensentwicklung, Führung und Personal","Dissertation project Jan Kraner Organizational Ambidexterity, Innovation, High Reliability Organization The main objective of this research was to examine how and why key players support or hinder the implementation of a technological innovation and what influence the interaction between explorative and exploitative key players has in the context of High Reliability Organizations (HROs). To cover these objectives, qualitative in-depth research in the form of a case study was conducted at two companies belonging to the aviation industry in order to investigate interrelated causal links and interactions that would have been too complex to be analyzed with a quantitative approach. To obtain reliable results, method triangulation was applied in the form of interviews, focus groups, and some direct observation and gathering of artifacts. Data triangulation was also used based on evidence from innovation-related internal documents, transcribed statements and discussions, and third party articles. The empirical results showed that there are certain key players and different forms of interactions that support or hinder the implementation of technological innovation. The supporting key players identified here are: knowledge sharing exploitative players, innovation supporting informal leaders, and the so-called side changers, that is, key players who were once located on the exploitative or explorative side and later changed sides when taking over new functions. Key players with a strongly inhibitory impact are: innovation opposing informal leaders, non-cooperative exploitative players, and fanatic explorative players. With regard to formal and informal interactions, it was verified that informal interactions have a tremendous influence, both at the top and bottom of the hierarchy, on the successful implementation of an innovation. The main conclusions and implications drawn from the research are that the election of the program leader for the implementation of an innovation as well as the election and involvement of other key players are crucial. Formal and, especially, informal channels should also be managed as closely as possible in such undertaking. Interaction processes between exploitative and explorative players should be iteratively intensified and managed closely, and trust should be considered a source of traction when implementing an innovation. Therefore, the successful implementation of an innovation depends on several parameters within the broader organizational context, but most notably on strong leadership, deliberate listening to and engagement with the exploitative players, the management of informal channels, and transparency in communication.",, Kraner Jan
25,40308,La tecnica del Contrappunto strumentale nell’epoca di Bach von Bruno Zanolini ,https://www.hslu.ch/de-ch/hochschule-luzern/forschung/projekte/detail/?pid=5693,Abgeschlossen,2016,2021,CC IMPS aF&E,"La tecnica del contrapunto strumentale nell'epoca di Bach by Bruno Zanolini With the translation of Bruno Zanolini's book La tecnica del Contrappunto strumentale nell'epoca di Bach, an important contribution to the understanding of music from the first half of the 18th century has been made accessible in German for the first time. One of the desiderata of German-language Bach research is a treatise that traces the basics of the musical language of Bach and his contemporaries from a historical perspective and conveys all of its aspects in a meaningful structure. Bruno Zanolini's ambitious monograph is such an overall presentation, but due to the language barrier it has hardly been received outside of Italy since it was published in 1993. The aim of the German translation is to make the insights gathered by the author with immense expertise accessible to a broad readership in teaching and research. It is hoped that impulses will be given to scientific discourse, which will encourage people to follow up on the results of Zanolini's book, to discuss them critically and to continue working on the basis of this foundation."," Baldassarre Antonio,  Szamatulski Katrin,  Mutter Peter", Zink Michael
